午后のあくび: Vocabulary for 午后のあくび
Word;Kana;Translation;Level
はいはい;はいはい;"yeah, yeah; whatever; sure";Week 6
ご注文;ごちゅうもん;"order; request";Week 6
順番に;じゅんばんに;"in turns; in series; in number order; by rotation";Week 6
貸す;かす;"to lend; to loan";Week 6
古い;ふるい;"old; aged; ancient; antiquated; antique; timeworn";Week 6
本体;ほんたい;"substance; real form";Week 6
3000円;さんぜんえん;yen (Japanese monetary unit);Week 6
判;はん;"seal; stamp; monogram signature";Week 6
1500万円;いっせん ごひゃくまんえん;yen (Japanese monetary unit);Week 6
程度;ていど;"degree; amount; grade; standard; of the order of (following a number); about; approximately";Week 6
45979年度;よんまん ごせん きゅうひゃく ななじゅう きゅうねんど;"fiscal year (usu. April 1 to March 31 in Japan); financial year";Week 6
気になる;きになる;"to weigh on one's mind; to bother one; to worry about; to be concerned about; to care about; to feel uneasy; to be anxious";Week 6
1冊;いっさつ;counter for books;Week 6
見つける;みつける;"to discover; to find (e.g. an error in a book); to come across; to detect; to spot";Week 6
粉;こな;"flour; meal; powder; dust";Week 6
菌;きん;fungus;Week 6
暮らす;くらす;"to live; to get along";Week 6
1000年;せんねん;counter for years (e.g. of an era), grades (e.g. school);Week 6
0三尾;さんび;counter for fish, shrimp, etc.;Week 6
沼;ぬま;"marsh; swamp; wetland; bog; pond";Week 6
次;つぎ;"next; following; subsequent";Week 6
挟まる;はさまる;"to get between; to be caught in";Week 6
新刊;しんかん;"new book; new publication";Week 6
案内;あんない;"guidance; leading (the way); showing around";Week 6
粘菌;ねんきん;"myxomycete; slime mold";Week 6
人生;じんせい;(one's) life;Week 6
何で;なんで;"why?; what for?";Week 6
三戸;さんのへ;Sannohe (town), Aomori Prefecture;Week 6
呂;りょ;bass range (in Japanese music);Week 6
適;たまたま;"occasionally; once in a while; seldom";Week 6
随想録;ずいそうろく;"essays; collection of miscellaneous thoughts";Week 6
この間;このあいだ;"the other day; lately; recently; during this period";Week 6
書店;しょてん;"bookshop; bookstore";Week 6
危険地帯;きけんちたい;danger zone;Week 6
ゆえ;ゆえ;"reason; cause; circumstances";Week 6
気をつける;きをつける;"to be careful; to pay attention; to take care";Week 6
目当て;めあて;"mark; guide; landmark";Week 6
特色;とくしょく;"characteristic; feature; idiosyncrasy; personal colour";Week 6
数百;すうひゃく;several hundreds;Week 6
メートル;メートル;"metre; meter";Week 6
にわたって;にわたって;"throughout; over a period of ...; over a span of ...";Week 6
いくつも;いくつも;"many; much; plenty";Week 6
軒;のき;eaves;Week 6
連ねる;つらねる;"to line up; to put in a row";Week 6
危;き;danger;Week 6
炭;すみ;charcoal;Week 6
社;しゃ;"company; association; society";Week 6
溢れる;あふれる;"to overflow; to brim over; to flood";Week 6
入り口;いりぐち;"entrance; entry; gate; approach; mouth";Week 6
塞がる;ふさがる;"to be closed; to be blocked; to be healed (e.g. wound); to be shut up";Week 6
みどり;みどり;green;Week 6
書房;しょぼう;"study; library";Week 6
表紙;ひょうし;"cover (of a book, magazine, etc.); binding";Week 6
緑色;みどりいろ;"green; emerald green; green color of new foliage; verdure";Week 6
軒先;のきさき;"edge of the eaves; house frontage";Week 6
店番;みせばん;tending a store;Week 6
作家;さっか;"author; writer; novelist; artist";Week 6
関する;かんする;"to concern; to be related";Week 6
本の;ほんの;"mere; only; just; slight";Week 6
あいにく;あいにく;"unfortunately; sorry, but ...";Week 6
先週;せんしゅう;"last week; the week before";Week 6
売れる;うれる;to sell (well);Week 6
ねぇ;ねぇ;"right?; isn't it?; doesn't it?; don't you?; don't you think?";Week 6
残念;ざんねん;"regrettable; unfortunate; disappointing; vexing";Week 6
わけじゃねえ;わけじゃねえ;"it does not mean that ...; I don't mean that ...; it is not the case that";Week 6
わけじゃない;わけじゃない;"it does not mean that ...; I don't mean that ...; it is not the case that";Week 6
面白い;おもしろい;"interesting; fascinating; intriguing; enthralling";Week 6
せっかく;せっかく;"with trouble; at great pains";Week 6
なので;なので;"because; as; since";Week 6
棚;たな;"shelf; ledge; rack";Week 6
どうも;どうも;"thank you; thanks";Week 6
なんでも;なんでも;"any; anything; whatever; whatever one likes; everything; all";Week 6
揃う;そろう;"to be complete; to be all present; to make a full set; to be satisfied (of conditions)";Week 6
五十音順;ごじゅうおんじゅん;standard gojūon syllabary order (aiueo, etc.);Week 6
堂;どう;"temple; shrine; chapel";Week 6
当店;とうてん;this store;Week 6
タイトル;タイトル;title;Week 6
でもある;でもある;to also be (implies that as well as the earlier stated this is also the case);Week 6
確実;かくじつ;"certain; sure; definite; reliable; sound; solid; safe; secure";Week 6
ラベンダー;ラベンダー;lavender;Week 6
畑;はたけ;"field (for growing wheat, fruit, vegetables, etc.); cultivated land; vegetable plot; kitchen garden; plantation";Week 6
ラフランス;ラフランス;"La France pear (var. of French pear); Claude Blanchet pear";Week 6
欄外;らんがい;margin;Week 6
ビス;ビス;screw;Week 6
葛;くず;"kudzu (Pueraria montana); Japanese arrowroot";Week 6
切;せつ;"eager; earnest; ardent; kind; keen; acute";Week 6
戦う;たたかう;"to make war (on); to wage war (against); to go to war (with); to fight (with); to do battle (against)";Week 6
理髪;りはつ;haircut;Week 6
的;てき;"-ical; -ive; -al; -ic; -y";Week 6
小さい頃;ちいさいころ;"as a child; when one was a child";Week 6
大好き;だいすき;"liking very much; loving (something or someone); adoring; being very fond of";Week 6
休憩;きゅうけい;"rest; break; recess; intermission";Week 6
当初;とうしょ;"beginning; start; outset";Week 6
欲しい;ほしい;"wanting (to have); desiring; wishing for";Week 6
見つかる;みつかる;"to be found; to be discovered";Week 6
予定外;よていがい;"unexpected; unscheduled; unforeseen; unplanned";Week 6
5冊;ごさつ;counter for books;Week 6
喫茶店;きっさてん;"coffee shop; tearoom; coffee lounge; coffeehouse; cafe";Week 6
販売;はんばい;"sales; selling; marketing";Week 6
何気ない;なにげない;"casual; unconcerned; nonchalant";Week 6
古今;ここん;"ancient and modern times; all ages; past and present";Week 6
寝言;ねごと;sleep-talking;Week 6
こけし;こけし;"limbless wooden doll; kokeshi doll";Week 6
大金;たいきん;"large amount of money; great cost";Week 6
次々;つぎつぎ;"in succession; one by one";Week 6
たちまち;たちまち;"in an instant; in a moment; immediately; right away; at once";Week 6
散財;さんざい;"extravagant spending; wasteful spending; splurging; squandering";Week 6
いな;いな;"no; nay";Week 6
っこい;っこい;"rich in ...; high in ...; full of ...; very ...; quite ...";Week 6
薄い;うすい;thin;Week 6
足りる;たりる;"to be sufficient; to be enough";Week 6
どんぐり;どんぐり;acorn;Week 6
にも;にも;"also; too; not ... either; as well; even";Week 6
並木道;なみきみち;"avenue; boulevard; tree-lined street";Week 6
黄金色;こがねいろ;"golden; gold-colored; gold-coloured; honey-colour";Week 6
森;もり;forest;Week 6
雑貨屋;ざっかや;general store;Week 6
夢中;むちゅう;"absorbed in; immersed in; crazy about; obsessed with; devoted to";Week 6
いつの間にやら;いつのまにやら;"before one knows it; without realizing; unawares; unnoticed";Week 6
よさそう;よさそう;"looking good; sounding good; (of) good appearance";Week 6
発見;はっけん;"discovery; detection; finding";Week 6
中にも;なかにも;"among (other things); especially; particularly; inter alia; above all (else)";Week 6
品々;しなじな;various articles;Week 6
所狭しと;ところせましと;"crowded; packed; crammed; cramped; filled; overflowing";Week 6
無造作;むぞうさ;"easy; simple; ready";Week 6
並べる;ならべる;"to line up; to set up; to arrange in a line";Week 6
すみません;すみません;"excuse me; pardon me; I'm sorry; I beg your pardon";Week 6
よく見ると;よくみると;"(on a) closer look; closer scrutiny; second look";Week 6
刻一刻と;こくいっこくと;"moment by moment; hour by hour";Week 6
させる;させる;to make (someone) do;Week 6
秋の空;あきのそら;clear autumn sky;Week 6
こりゃ;こりゃ;"hey there; I say; see here";Week 6
レンズ;レンズ;lens;Week 6
上の空;うわのそら;"inattention; absent-mindedness";Week 6
一部;いちぶ;"one part; one portion; one section; some";Week 6
そっくり;そっくり;"all; altogether; entirely; completely";Week 6
映し出す;うつしだす;"to project; to show";Week 6
お客さん;おきゃくさん;"guest; visitor";Week 6
使える;つかえる;"to be usable; to be serviceable; to be useful";Week 6
通貨;つうか;currency;Week 6
決まって;きまって;"always; without fail; invariably; usually; regularly";Week 6
500個;ごひゃっこ;counter for articles;Week 6
黄金;おうごん;gold (Au);Week 6
5個;ごこ;counter for articles;Week 6
それなら;それなら;"if that's the case ...; if so ...; that being the case ...";Week 6
じき;じき;"time; season; period; phase; stage";Week 6
降りだす;ふりだす;"to begin to rain; to begin to snow";Week 6
ありがとう;ありがとう;"thank you; thanks";Week 6
夕焼け;ゆうやけ;"evening glow; red sunset; afterglow (of sunset)";Week 6
なんて;なんて;"things like; something like; someone like; such a thing as; (the fact) that; to think that";Week 6
降る;ふる;"to fall (of rain, snow, ash, etc.); to come down";Week 6
枯葉;かれは;"dead leaf; dry leaves";Week 6
通り雨;とおりあめ;"shower; passing rain";Week 6
深海;しんかい;"deep sea; depths of the sea; ocean depths";Week 6
生物;せいぶつ;"living thing; organism; creature; life";Week 6
大百科;だいひゃっか;large encyclopedia;Week 6
都市;とし;"town; city; municipal; urban";Week 6
ポリ;ポリ;poly-;Week 6
リス;リス;squirrel (any mammal of family Sciuridae);Week 6
船;ふね;"ship; boat; watercraft; vessel; seaplane";Week 6
暦;こよみ;"calendar; almanac; koyomi";Week 6
史;し;history;Week 6
贈り物;おくりもの;"present; gift";Week 6
海底;かいてい;"bottom of the ocean; seafloor; seabed";Week 6
ニ;ニ;"at (place, time); in; on; during";Week 6
万里;ばんり;thousands of miles;Week 6
潜水夫;せんすいふ;diver;Week 6
手紙;てがみ;"letter; missive; note; mail";Week 6
海月;くらげ;jellyfish;Week 6
団;だん;"body; group; party; company; troupe";Week 6
鑑;かがみ;"model; pattern; paragon; exemplar";Week 6
ロビン;ロビン;robin;Week 6
ジン;ジン;"gin; jin";Week 6
パー;パー;percent;Week 6
水玉;みずたま;drop of water;Week 6
幻想;げんそう;"fantasy; illusion; vision; dream";Week 6
十五;じゅうご;"15; fifteen";Week 6
少年;しょうねん;"boy; juvenile; young boy; youth; lad";Week 6
漂流;ひょうりゅう;"drifting; drift; being adrift";Week 6
神秘;しんぴ;"mystery; mysteriousness; secret";Week 6
奇;き;"strange; unconventional; eccentric; novel";Week 6
せん;せん;"1,000; thousand";Week 6
返却;へんきゃく;"return of something; repayment";Week 6
いの;いの;Ino (town), Kochi Prefecture;Week 6
適当;てきとう;"suitable; proper; appropriate; adequate; fit; fair";Week 6
飲み物;のみもの;"drink; beverage";Week 6
飲む;のむ;"to drink; to gulp; to swallow; to take (medicine)";Week 6
水母;くらげ;jellyfish;Week 6
海流;かいりゅう;ocean current;Week 6
アップル;アップル;apple;Week 6
ティー;ティー;tea;Week 6
1日;ついたち;counter for days;Week 6
出港;しゅっこう;"departure from a port; leaving port; setting sail";Week 6
そろそろ;そろそろ;"soon; before long; any time now; momentarily";Week 6
寒い;さむい;cold (e.g. weather);Week 6
借りる;かりる;"to borrow; to have a loan";Week 6
移動;いどう;"movement; transfer; migration; removal; travel";Week 6
どの;どの;"which; what (way)";Week 6
一千一滴;せん いってき;counter for drops of liquid;Week 6
物語;ものがたり;"story; tale; narrative; account; fable; legend";Week 6
短い;みじかい;short;Week 6
千;せん;"1,000; thousand";Week 6
一話;いちわ;counter for stories, episodes of TV series, etc.;Week 6
収める;おさめる;"to pay (fees, taxes, etc.); to dedicate; to make an offering";Week 6
だいたい;だいたい;"outline; main points; gist; substance; essence";Week 6
年後;ねんご;years later;Week 6
返す;かえす;"to return (something); to restore; to put back";Week 6
来てる;きてる;to be coming;Week 6
お気に;おきに;"favorite; favourite; pet";Week 6
図書館;としょかん;library;Week 6
ちょっとずつ;ちょっとずつ;"little by little; step by step";Week 6
2年;にねん;counter for years (e.g. of an era), grades (e.g. school);Week 6
かあ;かあ;cawing (of a crow);Week 6
戻ってくる;もどってくる;to come back;Week 6
枕;まくら;"pillow; bolster";Week 7
事;こと;"thing; matter";Week 7
専門店;せんもんてん;"specialist shop; shop specializing in a few types of product";Week 7
チリ;チリ;Chile;Week 7
上げる;あげる;"to raise; to elevate";Week 7
専門;せんもん;"speciality; specialty; subject of study; expert; area of expertise";Week 7
競;くら;"contest; match";Week 7
寇;あだ;"foe; enemy; rival";Week 7
稜;りょう;"edge; angle";Week 7
打つ;うつ;"to hit; to strike; to knock; to beat; to punch; to slap; to tap; to bang; to clap; to pound";Week 7
草木;くさき;"plants; vegetation";Week 7
九;きゅう;"nine; 9";Week 7
さまざま;さまざま;"various; varied; diverse; all sorts of";Week 7
事典;じてん;"encyclopedia; cyclopedia";Week 7
枚;まい;counter for flat objects (e.g. sheets of paper);Week 7
巨大;きょだい;"huge; gigantic; enormous";Week 7
人用;じんよう;"human usage; (for) use by people";Week 7
タイプ;タイプ;"type; kind; sort; style";Week 7
ます;ます;used to indicate respect for the listener (or reader);Week 7
もう少し;もうすこし;"a bit more; a bit longer";Week 7
普通;ふつう;"normal; ordinary; regular; usual; common; average";Week 7
大きさ;おおきさ;"size; dimensions; volume";Week 7
今;いま;"now; the present time; just now; soon; immediately";Week 7
32万円;さんじゅう にまんえん;yen (Japanese monetary unit);Week 7
おすすめ;おすすめ;"recommendation; advice; suggestion; encouragement";Week 7
いかが;いかが;"how; in what way; how about";Week 7
なくても;なくても;"even if not; even without";Week 7
ムリ;ムリ;"unreasonable; unnatural; unjustifiable";Week 7
ヒツジ;ヒツジ;sheep (Ovis aries);Week 7
羊毛;ようもう;wool;Week 7
詰まる;つまる;"to be packed (with); to be full (space, schedule, etc.)";Week 7
とっても;とっても;"very; awfully; exceedingly";Week 7
配送;はいそう;delivery;Week 7
サービス;サービス;"service; help; assistance; care; concern";Week 7
とこ;とこ;"place; spot; scene; site";Week 7
御座います;ございます;"to be; to exist";Week 7
そういえば;そういえば;"now that you mention it; come to think of it; that reminds me; on that subject; speaking of which";Week 7
とき;とき;"time; hour; moment";Week 7
どうしてる;どうしてる;"How did you like ...?; How about ...?; What's going on?; How's it going?";Week 7
おやすみ;おやすみ;"holiday; day off; absence";Week 7
意味;いみ;"meaning; significance; sense";Week 7
終点;しゅうてん;"terminus; last stop (e.g. train)";Week 7
御;ご;honorific/polite/humble prefix;Week 7
団子;だんご;"dango; dumpling (usu. sweet); doughboy";Week 7
坂;さか;"slope; incline; hill";Week 7
レストラン;レストラン;restaurant (esp. Western-style);Week 7
安い;やすい;"cheap; inexpensive";Week 7
秘密結社;ひみつけっしゃ;secret society;Week 7
アジト;アジト;"hideout; secret base of operations; safe house";Week 7
独特;どくとく;"peculiarity; uniqueness; characteristic";Week 7
雰囲気;ふんいき;"atmosphere; mood; ambience; ambiance; aura; feel";Week 7
忌む;いむ;"to avoid; to refrain from; to shun";Week 7
席;せき;seat;Week 7
運ぶ;はこぶ;"to carry; to transport; to move; to convey";Week 7
メニュー;メニュー;menu;Week 7
沈黙;ちんもく;"silence; being silent; quiet; hush";Week 7
カラス;カラス;Chinese puffer (Takifugu chinensis);Week 7
嘘;うそ;"lie; fib; falsehood; untruth";Week 7
静寂;せいじゃく;"silence; stillness; quietness";Week 7
バター;バター;butter;Week 7
しじま;しじま;"silence; stillness; quietness";Week 7
ピラフ;ピラフ;pilaf;Week 7
音;おと;"sound; noise; report";Week 7
リマ;リマ;Lima (Peru);Week 7
1回;いっかい;counter for occurrences;Week 7
ダシ;ダシ;dashi (Japanese soup stock made from fish and kelp);Week 7
承知;しょうち;"knowledge; awareness";Week 7
小声;こごえ;"low voice; whisper";Week 7
注文;ちゅうもん;order (for an item);Week 7
それでは;それでは;"well, ...; right, ...; now, ...";Week 7
召し上がる;めしあがる;"to eat; to drink";Week 7
ウエイター;ウエイター;waiter;Week 7
音もなく;おともなく;"quietly; soundlessly";Week 7
料理;りょうり;"cooking; cookery; cuisine; meal; food; dish; item on a menu";Week 7
おい;おい;"hey!; oi!; ahoy!";Week 7
手強い;てづよい;"strong; resolute; firm; strict";Week 7
その物;そのもの;"the very thing; itself";Week 7
物;もの;"thing; object; article; stuff; substance";Week 7
心の声;こころのこえ;"(one's) inner voice; voice of one's heart; what one really thinks";Week 7
切る;きる;"to cut; to cut through; to perform (surgery)";Week 7
直し;なおし;"correction; rectification";Week 7
喫茶;きっさ;tea drinking;Week 7
真夜中;まよなか;"dead of night; midnight";Week 7
目が覚める;めがさめる;"to wake up; to awake; to perk up; to snap out (of a day dream, etc.)";Week 7
しまい;しまい;sisters;Week 7
明日;あした;tomorrow;Week 7
朝;あさ;morning;Week 7
起きる;おきる;"to get up; to rise; to blaze up (fire)";Week 7
放送;ほうそう;"broadcasting; broadcast; program; announcement";Week 7
終了;しゅうりょう;"end; close; termination";Week 7
おやすみなさい;おやすみなさい;good night;Week 7
サテ;サテ;"well; now; then";Week 7
オ;オ;honorific/polite/humble prefix;Week 7
ハ;ハ;indicates sentence topic;Week 7
ノ;ノ;indicates possessive;Week 7
番;ばん;number (in a series);Week 7
ワタ;ワタ;cotton plant (Gossypium spp.);Week 7
ヨーク;ヨーク;yoke;Week 7
テ;テ;"you said; he said; she said; they said";Week 7
ヨロシイ;ヨロシイ;"good; OK; all right; fine; very well; will do; may; can";Week 7
デスカ;デスカ;indicates question;Week 7
イケマ;イケマ;Cynanchum caudatum (species of swallowwort);Week 7
セン;セン;"stopper; bottle cap";Week 7
ワン;ワン;"woof; arf; bow-wow";Week 7
テイル;テイル;tail;Week 7
二;に;"two; 2";Week 7
ガ;ガ;indicates sentence subject (occasionally object);Week 7
覚;さとり;"Satori; folklore monster that can read minds";Week 7
押し;おし;"push; pushing";Week 7
ナク;ナク;NaK (sodium-potassium alloy);Week 7
トイ;トイ;toy;Week 7
ベッド;ベッド;bed;Week 7
入;いり;entering;Week 7
ッテ;ッテ;"you said; he said; she said; they said";Week 7
シテ;シテ;"by (indicating means of action); as (a group, etc.)";Week 7
ブタ;ブタ;"hand with a total value of 10 or 20 points (in oicho-kabu; results in a loss)";Week 7
重い;おもい;"heavy; weighty";Week 7
キタラ;キタラ;"kithara (ancient Greek musical instrument); cithara";Week 7
セーター;セーター;"sweater; jumper";Week 7
去年;きょねん;last year;Week 7
一度も;いちども;"(not) even once; (not) ever";Week 7
着る;きる;"to wear (from the shoulders down); to put on";Week 7
結構;けっこう;"splendid; nice; wonderful; delicious; sweet";Week 7
頭;あたま;head;Week 7
抜く;ぬく;"to pull out; to draw out; to extract; to unplug; to weed";Week 7
どうやら;どうやら;"possibly; apparently; (seem) likely; seemingly";Week 7
穴;あな;"hole; opening; perforation";Week 7
別;べつ;"distinction; difference; discrimination";Week 7
繋がる;つながる;"to be tied together; to be connected to; to be linked to";Week 7
あんな;あんな;"that sort of; that kind of; like that; such; so";Week 7
こんにちは;こんにちは;"hello; good day; good afternoon";Week 7
失礼します;しつれいします;"excuse me; pardon me; I beg your pardon";Week 7
脱ぐ;ぬぐ;"to take off (clothes, shoes, etc.); to undress";Week 7
後日;ごじつ;"in the future; another day; later";Week 7
もう一度;もういちど;"once more; again";Week 7
その日;そのひ;"that day; the very same day";Week 7
木枯らし;こがらし;cold wintry wind;Week 7
綺想曲;きそうきょく;capriccio;Week 7
腕時計;うでどけい;"wristwatch; watch";Week 7
時計屋;とけいや;"watch store; watch dealer";Week 7
見てもらう;みてもらう;to see (a doctor, etc.);Week 7
プロい;プロい;professional;Week 7
らしからぬ;らしからぬ;"uncharacteristic; unbefitting; unworthy (of)";Week 7
ショーケース;ショーケース;"showcase; display case; vitrine";Week 7
様々;さまざま;"various; varied; diverse; all sorts of";Week 7
時計;とけい;"clock; watch; timepiece";Week 7
並び;ならび;"line; row; rank; list";Week 7
型;かた;"model; type (e.g. of machine, goods, etc.)";Week 7
洋菓子;ようがし;Western confectionery;Week 7
店内;てんない;"store interior; inside of a shop";Week 7
おいしそう;おいしそう;"delicious-looking; tasty-looking";Week 7
クリーム;クリーム;cream;Week 7
お好み;おこのみ;"choice; preference";Week 7
おつ;おつ;"second (party to an agreement); the B party (e.g. in a contract); the latter; defendant";Week 7
け;け;particle indicating that the speaker is trying to recall some information;Week 7
とう;とう;"to ask; to inquire";Week 7
1つ;ひとつ;counter for the hito-futa-mi counting system (forming hitotsu, futatsu, mitsu, and misoji, yasoji, etc.);Week 7
針;はり;"needle; pin";Week 7
クリームチーズ;クリームチーズ;cream cheese;Week 7
製;せい;"-made; make";Week 7
文字盤;もじばん;dial (on timepiece, meter, etc.);Week 7
外す;はずす;"to remove; to take off; to detach; to unfasten; to undo";Week 7
タルト;タルト;tart;Week 7
生地;きじ;"cloth; fabric; material; texture";Week 7
余る;あまる;"to remain; to be left over; to be in excess; to be too many";Week 7
凝る;こる;to become stiff (of muscles);Week 7
驚き;おどろき;"surprise; astonishment; wonder; amazement";Week 7
時;とき;"time; hour; moment";Week 7
本物;ほんもの;"genuine article; real thing; real deal";Week 7
変わらない;かわらない;"constant; invariant";Week 7
精巧;せいこう;"elaborate; delicate; exquisite";Week 7
食;しょく;"food; foodstuff";Week 7
細工;さいく;"work; workmanship; craftsmanship; handiwork";Week 7
ビスケット;ビスケット;"cookie; biscuit";Week 7
見とれる;みとれる;"to be fascinated (by); to be captivated by; to be enchanted by; to gaze admiringly at; to watch in fascination";Week 7
一切れ;ひときれ;"slice; small piece";Week 7
食感;しょっかん;"food texture; mouthfeel";Week 7
癖になる;くせになる;"to become a habit; to be addictive; to be moreish";Week 7
頼む;たのむ;"to request; to beg; to ask";Week 7
思いのほか;おもいのほか;"unexpectedly; surprisingly";Week 7
長居;ながい;"long visit; overstaying";Week 7
興す;おこす;"to vitalize (e.g. an industry); to invigorate; to energize; to revive; to promote; to make prosperous";Week 7
時間;じかん;time;Week 7
もしかして;もしかして;"perhaps; possibly; maybe; by any chance; if I'm not mistaken";Week 7
流れる;ながれる;"to stream; to flow (liquid, time, etc.); to run (ink)";Week 7
方;ほう;"direction; way; side; area (in a particular direction)";Week 7
南洋;なんよう;South Seas;Week 8
さむい;さむい;cold (e.g. weather);Week 8
ごくらく;ごくらく;Sukhavati (Amitabha's Pure Land);Week 8
寒さ;さむさ;coldness;Week 8
温室;おんしつ;"greenhouse; hothouse; conservatory; glasshouse";Week 8
熱帯;ねったい;tropics;Week 8
植物;しょくぶつ;"plant; vegetation";Week 8
あちらこちら;あちらこちら;"here and there; various places; all around; all over; everywhere; throughout";Week 8
鳥;とり;bird;Week 8
小動物;しょうどうぶつ;small animal;Week 8
鳴き声;なきごえ;"cry (esp. animal); roar; chirp; tweet; bark; whine; meow";Week 8
ガラスの天井;ガラスのてんじょう;glass ceiling;Week 8
破る;やぶる;"to tear; to rip; to break; to destroy";Week 8
ばかりに;ばかりに;"(simply) because; on account of";Week 8
繁茂;はんも;"luxuriant growth; rankness (of weeds)";Week 8
人工;じんこう;"artificial; man-made; human work; human skill; artificiality";Week 8
池;いけ;pond;Week 8
周り;まわり;"circumference; girth";Week 8
色鮮やか;いろあざやか;"vivid; brightly colored; brilliant; radiant";Week 8
無数;むすう;"innumerable; countless; numberless";Week 8
蝶;ちょう;butterfly;Week 8
乱舞;らんぶ;boisterous dance;Week 8
にしては;にしては;"for (e.g. ""she dances well for an eight-year old""); considering it's (something or someone)";Week 8
ずいぶん;ずいぶん;"very; extremely; surprisingly; considerably; awfully; terribly";Week 8
本格的;ほんかくてき;"genuine; real; authentic; standard; orthodox";Week 8
これら;これら;these;Week 8
生き物;いきもの;"living thing; living creature; animal; life";Week 8
管理;かんり;"control; management (e.g. of a business)";Week 8
怪獣;かいじゅう;monster;Week 8
いえ;いえ;"no; nay";Week 8
飼育;しいく;"breeding; raising; rearing";Week 8
湧く;わく;"to well (up); to gush forth (of water); to spring out; to surge";Week 8
手品;てじな;"magic (illusion); conjuring; magic trick; conjuring trick; sleight of hand";Week 8
ともなく;ともなく;"somehow; without knowing (it); unconsciously; unthinkingly";Week 8
茂み;しげみ;"thicket; bush; coppice; brushwood";Week 8
もぐ;もぐ;"to pluck (usually from a tree); to pick (e.g. apples)";Week 8
熱帯林;ねったいりん;tropical forest;Week 8
つながる;つながる;"to be tied together; to be connected to; to be linked to";Week 8
異次元;いじげん;different dimension;Week 8
トンネル;トンネル;tunnel;Week 8
傾く;かたむく;"to incline toward; to slant; to lurch; to heel over; to be disposed to; to trend toward; to be prone to";Week 8
姿を消す;すがたをけす;"to disappear; to vanish";Week 8
だんだん;だんだん;"gradually; by degrees; little by little; more and more; increasingly";Week 8
さて;さて;"well; now; then";Week 8
わたしたち;わたしたち;"we; us";Week 8
覚悟;かくご;"readiness; preparedness; resolution; resignation";Week 8
一泊;いっぱく;"(staying) one night; overnight stay";Week 8
訪れる;おとずれる;"to visit; to call on";Week 8
国;くに;"country; state";Week 8
コイ;コイ;"Khoi (people); Khoikhoi; Khoi-khoin";Week 8
出す;だす;"to take out; to get out";Week 8
やだ;やだ;"not a chance; not likely; no way; no";Week 8
こんばんは;こんばんは;good evening;Week 8
うれしい;うれしい;"happy; glad; pleased; delighted; overjoyed";Week 8
めったにない;めったにない;rare;Week 8
退屈;たいくつ;"tedium; boredom; dullness";Week 8
でしょ;でしょ;"it seems; I think; I guess; I wonder";Week 8
お菓子;おかし;"confections; sweets; candy; cake";Week 8
ユー;ユー;you;Week 8
レイ;レイ;lei (garland of flowers);Week 8
オセロゲーム;オセロゲーム;Othello (board game);Week 8
トランプ;トランプ;(Western) playing cards;Week 8
囲碁;いご;go (board game);Week 8
すごろく;すごろく;race game (board game played with dice in which the object is to reach the end of a track);Week 8
チェ;チェ;"tsk; tut; shoot; dang";Week 8
負ける;まける;"to lose; to be defeated";Week 8
あの世;あのよ;"the other world; the next world; the world beyond; world after death";Week 8
連れる;つれる;"to take (someone) with one; to bring along; to go with; to be accompanied by";Week 8
死神;しにがみ;"god of death; death deity; Death";Week 8
雪女;ゆきおんな;"yuki-onna (spirit in Japanese folklore); snow woman";Week 8
かなり;かなり;"considerably; fairly; quite; rather; pretty";Week 8
おしゃべり;おしゃべり;"chattering; talk; idle talk; chat; chitchat; gossip";Week 8
ゲーム;ゲーム;game;Week 8
最中;さいちゅう;"(in) the middle of; (in) the midst of; (in) the course of; (at) the height of";Week 8
他愛のない;たわいのない;"silly; foolish; absurd; childish; easy; trifling; guileless";Week 8
えんえん;えんえん;"forever; endlessly; on and on";Week 8
続ける;つづける;"to continue; to keep up; to keep on";Week 8
以前;いぜん;"ago; since; before; previous";Week 8
泊;はく;counter for nights of a stay;Week 8
飽きる;あきる;"to get tired of; to lose interest in; to be fed up with; to have enough";Week 8
フレンドリー;フレンドリー;friendly;Week 8
そちら;そちら;"that way; that direction";Week 8
性格;せいかく;"character (of a person); personality; disposition; nature";Week 8
一人で;ひとりで;"alone; by oneself; on one's own";Week 8
さぞ;さぞ;"surely; certainly; no doubt; must";Week 8
まっ暗;まっくら;"total darkness; pitch dark";Week 8
コンナ;コンナ;"this sort of; this kind of; like this; such";Week 8
コナ;コナ;Kona (variety of Hawaiian coffee);Week 8
怖い;こわい;"scary; frightening; eerie; dreadful";Week 8
蛍光灯;けいこうとう;"fluorescent lamp; fluorescent light";Week 8
うっかり;うっかり;"carelessly; thoughtlessly; inadvertently";Week 8
待たせる;またせる;to keep (a person) waiting;Week 8
電気屋;でんきや;electric appliance store;Week 8
電球;でんきゅう;light bulb;Week 8
仕方ない;しかたない;there's no (other) way;Week 8
乗っける;のっける;to place on (something);Week 8
とく;とく;"to do something in readiness for; to get something (needful) done";Week 8
天使;てんし;angel;Week 8
最初;さいしょ;"beginning; outset; first; onset";Week 8
積もる;つもる;"to pile up; to accumulate";Week 8
日の出;ひので;sunrise;Week 8
直前;ちょくぜん;just before;Week 8
今晩;こんばん;"tonight; this evening";Week 8
いいこと;いいこと;"good thing; nice thing";Week 8
あんまり;あんまり;"(not) very; (not) much";Week 8
つい;つい;just (now);Week 8
