午后のあくび: Vocabulary for 午后のあくび
Word;Kana;Translation;Level
どんどん;どんどん;"drumming (noise); beating; pounding; banging; booming; stamping";Week 1
吸い込む;すいこむ;"to inhale; to breathe in; to suck up; to imbibe";Week 1
食後;しょくご;after a meal;Week 1
睡魔;すいま;"sleepiness; drowsiness";Week 1
タイム;タイム;time;Week 1
湧きあがる;わきあがる;"to boil up; to come to the boil; to seethe";Week 1
何コレ;なにコレ;"what the?; what's going on?; what's this?";Week 1
放出;ほうしゅつ;"release; emission; ejection";Week 1
オフィス;オフィス;office;Week 1
降り注ぐ;ふりそそぐ;"to rain incessantly; to downpour";Week 1
公園;こうえん;(public) park;Week 1
前;まえ;"in front (of); before (e.g. a building)";Week 1
夢;ゆめ;dream;Week 1
降りる;おりる;"to descend (e.g. a mountain); to go down; to come down";Week 1
ねね;ねね;"hey; listen";Week 2
香;か;"smell (esp. a good smell); fragrance; scent; aroma; perfume";Week 2
ちゃん;ちゃん;suffix for familiar person;Week 2
よく;よく;"nicely; properly; well; skillfully; skilfully";Week 2
晴れる;はれる;"to clear up; to clear away; to be sunny; to stop raining";Week 2
土曜日;どようび;Saturday;Week 2
午後;ごご;"afternoon; p.m.";Week 2
学校;がっこう;school;Week 2
髪;かみ;hair (on the head);Week 2
花びら;はなびら;(flower) petal;Week 2
ついてる;ついてる;"to be lucky; to be in luck";Week 2
持つ;もつ;"to hold (in one's hand); to take; to carry";Week 2
虫眼鏡;むしめがね;magnifying glass;Week 2
みる;みる;"to see; to look; to watch; to view; to observe";Week 2
ハチ;ハチ;"bee; wasp; hornet";Week 2
ピン;ピン;pin (e.g. hairpin, bowling pin, golf pin, etc.);Week 2
分;ぶん;"part; portion; share";Week 2
ですが;ですが;"but; however; (and) yet; nevertheless; still; for all that";Week 2
本日;ほんじつ;"today; this day";Week 2
何か;なにか;"something; some; any";Week 2
なになに;なになに;what;Week 2
そんな;そんな;"such; that sort of; that kind of; like that";Week 2
お店;おみせ;"store; shop";Week 2
出来る;できる;"to be able (in a position) to do; to be up to the task";Week 2
ハチミツ;ハチミツ;honey;Week 2
パン;パン;"bread; (sweet) pastry";Week 2
行う;おこなう;"to perform; to do; to conduct oneself; to carry out";Week 2
よりみち;よりみち;"dropping in on the way; stopping off at; making a side trip";Week 2
こっか;こっか;"state; country; nation";Week 2
昼下がり;ひるさがり;early afternoon;Week 2
ヶ;ヶ;"counter for the ichi-ni-san counting system (usu. directly preceding the item being counted); noun read using its on-yomi";Week 2
丘;おか;"hill; height; knoll; rising ground";Week 2
